timestamp,cultura,umidade_%,pH,N_ppm,P_ppm,K_ppm
2025-10-01T00:00:00-03:00,milho,29.99,6.69,28.2,6.6,115.5
2025-10-01T00:30:00-03:00,milho,27.45,6.52,33.6,12.8,148.8
2025-10-01T01:00:00-03:00,milho,30.59,6.22,27.1,15.5,150.7
2025-10-01T01:30:00-03:00,milho,34.09,5.97,31.9,29.3,168.9
2025-10-01T02:00:00-03:00,milho,27.06,6.44,16.1,21.3,95.3
2025-10-01T02:30:00-03:00,milho,27.06,6.34,37.1,10.0,173.7
2025-10-01T03:00:00-03:00,milho,34.32,6.51,35.0,20.9,41.8
2025-10-01T03:30:00-03:00,milho,31.07,6.42,26.8,8.7,124.8
2025-10-01T04:00:00-03:00,milho,26.12,6.57,41.6,24.5,130.5
2025-10-01T04:30:00-03:00,milho,30.17,6.01,44.4,15.2,175.3
2025-10-01T05:00:00-03:00,milho,26.15,6.66,18.9,17.4,150.9
2025-10-01T05:30:00-03:00,milho,26.14,6.27,27.4,26.0,93.8
2025-10-01T06:00:00-03:00,milho,28.97,6.93,27.3,10.3,110.6
2025-10-01T06:30:00-03:00,milho,20.35,5.96,25.6,9.6,157.9
2025-10-01T07:00:00-03:00,milho,21.1,6.81,43.3,14.5,146.8
2025-10-01T07:30:00-03:00,milho,25.75,6.27,33.1,24.2,126.8
2025-10-01T08:00:00-03:00,milho,23.95,5.97,32.4,8.9,130.8
2025-10-01T08:30:00-03:00,milho,29.26,6.03,15.0,2.0,177.8
2025-10-01T09:00:00-03:00,milho,24.37,6.09,41.4,15.3,129.3
2025-10-01T09:30:00-03:00,milho,22.35,6.35,22.6,21.3,146.5
2025-10-01T10:00:00-03:00,milho,33.86,6.38,35.6,25.2,236.8
2025-10-01T10:30:00-03:00,milho,27.1,6.0,37.8,15.2,93.1
2025-10-01T11:00:00-03:00,milho,28.27,6.19,48.6,15.5,75.9
2025-10-01T11:30:00-03:00,milho,22.3,6.95,21.9,24.9,181.3
2025-10-01T12:00:00-03:00,milho,25.82,6.8,5.0,6.8,122.9
2025-10-01T12:30:00-03:00,milho,28.44,6.35,36.8,15.7,137.3
2025-10-01T13:00:00-03:00,milho,23.4,6.21,53.0,19.1,118.8
2025-10-01T13:30:00-03:00,milho,29.5,6.24,47.4,20.7,139.6
2025-10-01T14:00:00-03:00,milho,25.6,6.41,37.1,14.9,213.9
2025-10-01T14:30:00-03:00,milho,26.83,5.84,30.1,18.2,182.1
2025-10-01T15:00:00-03:00,milho,25.59,6.11,43.1,3.1,184.5
2025-10-01T15:30:00-03:00,milho,35.41,5.62,25.3,14.1,93.4
2025-10-01T16:00:00-03:00,milho,27.95,6.34,39.8,20.7,104.0
2025-10-01T16:30:00-03:00,milho,23.77,6.43,40.1,12.1,40.0
2025-10-01T17:00:00-03:00,milho,31.29,6.03,45.6,18.4,117.6
2025-10-01T17:30:00-03:00,milho,23.12,6.75,62.6,20.7,188.3
2025-10-01T18:00:00-03:00,milho,28.84,5.77,38.9,15.9,170.7
2025-10-01T18:30:00-03:00,milho,20.16,5.69,29.9,19.0,141.1
2025-10-01T19:00:00-03:00,milho,22.69,6.28,34.7,12.2,149.1
2025-10-01T19:30:00-03:00,milho,28.79,6.57,17.3,16.8,122.4
2025-10-01T20:00:00-03:00,milho,30.95,6.79,28.1,21.7,158.2
2025-10-01T20:30:00-03:00,milho,28.69,6.04,30.9,18.9,180.6
2025-10-01T21:00:00-03:00,milho,27.54,6.58,29.8,14.5,85.4
2025-10-01T21:30:00-03:00,milho,26.8,6.19,36.5,19.3,162.0
2025-10-01T22:00:00-03:00,milho,22.09,6.14,26.8,22.3,187.3
2025-10-01T22:30:00-03:00,milho,25.12,6.51,46.2,5.7,133.4
2025-10-01T23:00:00-03:00,milho,26.16,6.43,35.0,25.0,178.0
2025-10-01T23:30:00-03:00,milho,32.23,5.65,34.9,16.0,262.6
2025-10-02T00:00:00-03:00,milho,29.37,6.72,31.7,20.6,145.8
2025-10-02T00:30:00-03:00,milho,20.95,6.68,36.6,25.2,165.7
2025-10-02T01:00:00-03:00,milho,29.3,5.98,43.3,9.8,120.5
2025-10-02T01:30:00-03:00,milho,26.46,6.34,26.3,13.7,157.3
2025-10-02T02:00:00-03:00,milho,25.29,6.37,28.4,16.3,168.4
2025-10-02T02:30:00-03:00,milho,30.45,6.29,32.0,13.3,157.8
